target,n_bits,shots,sim_time_s,l2_error
qiskit-aer,18,262144,0.372310232000018,0.0019530802960048
qiskit-aer,19,262144,0.4658324920019367,0.0019494782616206
qiskit-aer,20,262144,0.5796315400002641,0.0019552174922456
qiskit-aer,21,262144,0.9276192149991402,0.0019538773637311
qiskit-aer,22,262144,1.182647638997878,0.0019532516557634
qiskit-aer,23,262144,2.355566796999483,0.0019529908849446
qiskit-aer,24,262144,4.257353804998274,0.0019532516557634
qiskit-aer,25,262144,8.804057959998318,0.0019529238239631
qiskit-aer,26,262144,17.57552444600151,0.0019528567606787
qiskit-aer,27,262144,34.92280964300153,0.001953125
qiskit-aer,28,262144,71.18771880400163,0.00195290892121
qiskit-aer,3,524288,0.199047514994163,0.0025148404381422
qiskit-aer,4,524288,0.2084464060026221,0.0013718279356367
qiskit-aer,5,524288,0.2220382550003705,0.0011230996109149
qiskit-aer,6,524288,0.2594530409987783,0.0012441967151684
qiskit-aer,7,524288,0.3203031659941189,0.0012958296963844
qiskit-aer,8,524288,0.4277351549972081,0.0013690086990253
qiskit-aer,9,524288,0.6092839560005814,0.0013893460516417
qiskit-aer,10,524288,0.5690015700020012,0.0013458557947187
qiskit-aer,11,524288,0.5882183200010331,0.0013946592677217
qiskit-aer,12,524288,0.6014265779958805,0.0014105742621225
qiskit-aer,13,524288,0.6279333569982555,0.001388625782156
qiskit-aer,14,524288,0.6804122300018207,0.0013761596388682
qiskit-aer,15,524288,0.4264013960055308,0.0013841937980131
qiskit-aer,16,524288,0.4886724280004273,0.0013808966998177
qiskit-aer,17,524288,0.6007019729950116,0.001380901968817
qiskit-aer,18,524288,0.7253281430021161,0.0013795682704853
qiskit-aer,19,524288,0.85652265400131,0.0013809441200876
qiskit-aer,20,524288,1.0985126999948989,0.0013811732951071
qiskit-aer,21,524288,1.369345009996323,0.0013816446965591
qiskit-aer,22,524288,1.9354817839994207,0.0013808176624156
qiskit-aer,23,524288,3.104708460996335,0.0013815683351753
qiskit-aer,24,524288,5.791276545001892,0.0013812496783304
qiskit-aer,25,524288,11.819483638995736,0.0013811838309752
qiskit-aer,26,524288,23.761513160003236,0.0013809441200876
qiskit-aer,27,524288,47.68853665400093,0.0013809046033091
qiskit-aer,28,524288,95.9665540049973,0.0013811811970157
cudaq-gpu,3,1024,0.1693951529996411,0.0253153933531557
cudaq-gpu,4,1024,0.0243439969999599,0.0228189871983357
cudaq-gpu,5,1024,0.0253837239997665,0.0344990658840931
cudaq-gpu,6,1024,0.0282916760006628,0.0256521983136009
cudaq-gpu,7,1024,0.0271874780000871,0.0320336317712045
cudaq-gpu,8,1024,0.0311651170004552,0.030974124076472
cudaq-gpu,9,1024,0.0363641889998689,0.0302261475401214
cudaq-gpu,10,1024,0.0303639490002751,0.0310048981765381
cudaq-gpu,11,1024,0.031101743000363,0.0313718328207207
cudaq-gpu,12,1024,0.0343799890006266,0.0307888335360047
cudaq-gpu,13,1024,0.0401798840002811,0.0317044591420857
cudaq-gpu,14,1024,0.0378697369997098,0.0314325721473263
cudaq-gpu,15,1024,0.0406395689997225,0.031097037750177
cudaq-gpu,16,1024,0.0456015270001444,0.0311889051224049
cudaq-gpu,17,1024,0.0504053499998917,0.03125
cudaq-gpu,18,1024,0.0486598280003818,0.0311889051224049
cudaq-gpu,19,1024,0.0519509509995259,0.0312194675061441
cudaq-gpu,20,1024,0.0563535159999446,0.0312347374838271
cudaq-gpu,21,1024,0.079968208999162,0.0312423696739187
cudaq-gpu,22,1024,0.0692122489999746,0.0312461850698753
cudaq-gpu,23,1024,0.0839651639998919,0.0312480925931559
cudaq-gpu,24,1024,0.1127042500002062,0.0312795499326322
cudaq-gpu,25,1024,0.1677974300000642,0.0312495231592037
cudaq-gpu,26,1024,0.2587168889995155,0.0312497615805113
cudaq-gpu,27,1024,0.4511011960003088,0.031249880790483
cudaq-gpu,28,1024,0.8472732079999332,0.0312499403952983
cudaq-gpu,3,2048,0.0273319610005273,0.0233151101295182
cudaq-gpu,4,2048,0.0237582059999112,0.0184645218761611
cudaq-gpu,5,2048,0.0238864200000534,0.0220862946833957
cudaq-gpu,6,2048,0.0242782210007135,0.0228815908473827
cudaq-gpu,7,2048,0.0299002890005795,0.0237908744435152
cudaq-gpu,8,2048,0.0282403769997472,0.0217381145405781
