n_bits,shots,sim_time_s,throughput,l2_error,backend,init,method
16,131072,0.16095108199806418,814359.2349480226,0.0038946246965268446,CPU,ghz,statevector
17,131072,0.1955201199889416,670376.0206745643,0.003377676944149575,CPU,ghz,statevector
18,131072,0.34451396099757403,380454.82865329506,0.003087765930621059,CPU,ghz,statevector
19,131072,0.3345905500027584,391738.499485175,0.0029310580862313713,CPU,ghz,statevector
20,131072,0.7996943639882375,163902.61817817178,0.0028474511267589,CPU,ghz,statevector
21,131072,1.5924068320018705,82310.62399752757,0.0028070781024363946,CPU,ghz,statevector
22,131072,1.9282863560074475,67973.30676102848,0.002783694140304617,CPU,ghz,statevector
23,131072,4.444414092009538,29491.40140556433,0.002772001680588746,CPU,ghz,statevector
24,131072,7.158162503998028,18310.8444278532,0.002766810209012461,CPU,ghz,statevector
25,131072,13.641472641000291,9608.346800187464,0.0027653582182946067,CPU,ghz,statevector
26,131072,22.831766456001787,5740.77350749815,0.002763568485334538,CPU,ghz,statevector
27,131072,47.126308005012106,2781.2915025310253,0.002762810131288153,CPU,ghz,statevector
3,262144,0.11424132599495351,2294651.23690511,0.25039807341944953,CPU,ghz,statevector
4,262144,0.17655114500666969,1484804.8705098843,0.17684705755786892,CPU,ghz,statevector
5,262144,0.18091659300262108,1448977.0985030772,0.12486168983257726,CPU,ghz,statevector
6,262144,0.1711795190058183,1531398.157457668,0.08852012180554786,CPU,ghz,statevector
7,262144,0.1946978039923124,1346414.775229569,0.06245490026491918,CPU,ghz,statevector
8,262144,0.24475401600648183,1071050.8627284695,0.04414661745784993,CPU,ghz,statevector
9,262144,0.3879681919934228,675684.2581683709,0.031325639884204115,CPU,ghz,statevector
10,262144,0.3786279070045566,692352.5581458136,0.022168262360010613,CPU,ghz,statevector
11,262144,0.34387884799798485,762314.9883343106,0.015745366174321148,CPU,ghz,statevector
12,262144,0.36326455500966404,721633.8516512465,0.011169722819101306,CPU,ghz,statevector
13,262144,0.5049223970127059,519176.81123066397,0.008060003070266837,CPU,ghz,statevector
14,262144,0.502977888987516,521183.9441445237,0.005850402598341091,CPU,ghz,statevector
15,262144,0.4051233409991255,647072.0728000855,0.004365147263342579,CPU,ghz,statevector
16,262144,0.44334352599980775,591288.6613350788,0.003392396358700361,CPU,ghz,statevector
17,262144,0.43896007401053794,597193.2654487998,0.0027651266710495242,CPU,ghz,statevector
18,262144,0.487314932004665,537935.4967056304,0.0023857508291087216,CPU,ghz,statevector
19,262144,0.6147831649868749,426400.7457094186,0.0021855718659820667,CPU,ghz,statevector
20,262144,0.8960942599951522,292540.65303511504,0.0020710960740717077,CPU,ghz,statevector
21,262144,1.8399239699938335,142475.4523964806,0.0020135387271184393,CPU,ghz,statevector
22,262144,2.3340460340114078,112313.12329751537,0.001983187696679787,CPU,ghz,statevector
23,262144,3.5156979839957785,74563.85650682637,0.0019683246455807005,CPU,ghz,statevector
24,262144,9.998426387013751,26218.52578126497,0.0019614667377749373,CPU,ghz,statevector
25,262144,13.415633584998432,19540.18782185088,0.0019571590486551034,CPU,ghz,statevector
26,262144,27.082364885995048,9679.50919735082,0.001954919765301142,CPU,ghz,statevector
27,262144,57.65240160698886,4546.97450050757,0.0019542124820171635,CPU,ghz,statevector
3,524288,0.3123819559987169,1678355.5833876447,0.25030210495320615,CPU,ghz,statevector
4,524288,0.29490244899352547,1777835.354671845,0.1769447610798951,CPU,ghz,statevector
5,524288,0.3861318989947904,1357795.0989412393,0.12491915091581332,CPU,ghz,statevector
6,524288,0.38963638999848627,1345582.7367716779,0.08816736139803932,CPU,ghz,statevector
7,524288,0.5992161329922965,874956.4157791797,0.06257854245780096,CPU,ghz,statevector
8,524288,0.7088860160001786,739594.2198976427,0.04412433671677029,CPU,ghz,statevector
9,524288,0.8368383979977807,626510.4484383261,0.031214607511657153,CPU,ghz,statevector
10,524288,0.7474159830017015,701467.4718279425,0.02215712913517992,CPU,ghz,statevector
11,524288,0.8385487170016859,625232.6064902273,0.015676487622023526,CPU,ghz,statevector
12,524288,0.7630704009934561,687076.8402462201,0.011140453546045363,CPU,ghz,statevector
13,524288,0.8329421849921346,629441.0457851295,0.00793194589861658,CPU,ghz,statevector
14,524288,0.7972926820075372,657585.3658657357,0.005702951361065545,CPU,ghz,statevector
15,524288,0.6807864570000675,770121.0777757114,0.004150391501538802,CPU,ghz,statevector
16,524288,0.7045297000004211,744167.3502191413,0.003086309342676622,CPU,ghz,statevector
17,524288,0.9170544299995527,571708.7043571185,0.0023888351882882294,CPU,ghz,statevector
18,524288,1.0141955860017333,516949.5975297056,0.0019481584613420002,CPU,ghz,statevector
19,524288,1.0543129819998285,497279.2794465328,0.0016903241687657694,CPU,ghz,statevector
20,524288,1.491755082999589,351457.15672426135,0.001547932987448114,CPU,ghz,statevector
21,524288,1.8165363810112467,288619.5979780677,0.0014652360947018414,CPU,ghz,statevector
22,524288,3.2067917990061687,163492.99638426307,0.0014232834359862686,CPU,ghz,statevector
23,524288,8.044713312992826,65171.74442415926,0.0014017053064967863,CPU,ghz,statevector
24,524288,12.086229291002383,43378.955286766504,0.001392152848552351,CPU,ghz,statevector
25,524288,23.023253156003193,22772.107679461216,0.0013864076250248,CPU,ghz,statevector
26,524288,40.04095380200306,13093.793983842921,0.0013837811044788563,CPU,ghz,statevector
27,524288,75.33824376499979,6959.121606755197,0.0013824870248818051,CPU,ghz,statevector
