n_bits,shots,sim_time_s,throughput,l2_error,backend,init,method
19,16384,0.041964049989474006,390429.427190885,0.00780056996219359,GPU,zero,statevector
20,16384,0.0565057180065196,289952.9565859091,0.007817743449139667,GPU,zero,statevector
21,16384,0.08263368299230933,198272.6583967563,0.007820125672874495,GPU,zero,statevector
22,16384,0.12788160200580023,128118.5076118837,0.0078120231482889935,GPU,zero,statevector
23,16384,0.21940847700170707,74673.50497981228,0.007810592418479683,GPU,zero,statevector
24,16384,0.4211698090075515,38901.17394361056,0.007812976822607176,GPU,zero,statevector
25,16384,0.8423013650026405,19451.470317810345,0.0078125,GPU,zero,statevector
26,16384,1.7255238570069196,9495.087496744067,0.0078120231482889935,GPU,zero,statevector
27,16384,3.577038638992235,4580.325138622458,0.0078125,GPU,zero,statevector
3,32768,0.013075809998554178,2506001.540525844,0.005728207132153352,GPU,zero,statevector
4,32768,0.011747070006094873,2789461.5408777324,0.004002808210954491,GPU,zero,statevector
5,32768,0.012590328988153487,2602632.5468406836,0.004353009200900743,GPU,zero,statevector
6,32768,0.013714094995521009,2389366.5612424263,0.005118226389950349,GPU,zero,statevector
7,32768,0.014479168006801046,2263113.4595999205,0.005616726884273858,GPU,zero,statevector
8,32768,0.015997294001863338,2048346.426350809,0.0054295565911848045,GPU,zero,statevector
9,32768,0.017363278995617293,1887201.1449145665,0.005788855576002406,GPU,zero,statevector
10,32768,0.019660090998513624,1666726.7716348507,0.005486547936245659,GPU,zero,statevector
11,32768,0.03907132500899024,838671.327180743,0.005656546505907061,GPU,zero,statevector
12,32768,0.0652946600021096,501848.0837321353,0.0054703982457902055,GPU,zero,statevector
13,32768,0.07642968599975575,428733.9346141592,0.0055498378523775906,GPU,zero,statevector
14,32768,0.0677474750118563,483678.5429164019,0.005527979406463367,GPU,zero,statevector
15,32768,0.07010003199684434,467446.29162901244,0.005522754233048662,GPU,zero,statevector
16,32768,0.08789906100719236,372791.2405949223,0.005493842189045698,GPU,zero,statevector
17,32768,0.0766423280001618,427544.42427598004,0.005533199645585657,GPU,zero,statevector
18,32768,0.07279975499841385,450111.4049176944,0.005531684599791113,GPU,zero,statevector
19,32768,0.09596391099330503,341461.69805736735,0.0055230914901851285,GPU,zero,statevector
20,32768,0.10435069300001487,314018.03915183706,0.005525451713755593,GPU,zero,statevector
21,32768,0.1016963870060863,322214.00351262145,0.005523934542941429,GPU,zero,statevector
22,32768,0.1384367989958264,236700.0699069031,0.0055288217138943115,GPU,zero,statevector
23,32768,0.2354733380052494,139158.00522295016,0.00552174233804526,GPU,zero,statevector
24,32768,0.4381634230085183,74784.88225924545,0.005523765942683697,GPU,zero,statevector
25,32768,0.8614456329960376,38038.384251871554,0.005523765942683697,GPU,zero,statevector
26,32768,1.7456047189916717,18771.718272466664,0.005523934542941429,GPU,zero,statevector
27,32768,3.6020587450038875,9097.019876605214,0.0055246088925188595,GPU,zero,statevector
3,65536,0.021729294006945565,3016020.676007791,0.0038117664522601697,GPU,zero,statevector
