n_bits,shots,sim_time_s,throughput,l2_error,backend
14,524288,0.38991426800021145,1344623.7879135925,0.001402491490675914,GPU
15,524288,0.4790686119995371,1094390.2123157813,0.0013874830612835322,GPU
16,524288,0.4813956309990317,1089100.037970753,0.0013810969076593633,GPU
17,524288,0.6667244929994922,786363.7911985323,0.0013846037410920001,GPU
18,524288,0.6938376289999724,755635.0046273159,0.0013762521608217788,GPU
19,524288,0.8472242300013022,618830.2711776717,0.001383207860862868,GPU
20,524288,0.9790373100004217,535513.8099892987,0.001382313336680222,GPU
21,524288,0.9091004060010164,576710.7753325696,0.0013813049876829433,GPU
22,524288,1.0169652469994617,515541.7075921745,0.0013815235696432232,GPU
23,524288,1.2104765429994586,433125.2869228334,0.001381291818990363,GPU
24,524288,1.342088909001177,390650.7210391828,0.001381089005268456,GPU
25,524288,1.793802311998661,292277.46920218674,0.0013806147790397076,GPU
26,524288,2.6888910529996792,194982.98356681786,0.001380970463978421,GPU
27,524288,4.5980331860009755,114024.4053905984,0.0013810442241992008,GPU
