target,init,shots,n_bits,sim_time_s,l2_error
qiskit-cpu,zero,4096,26,14.873003136002808,0.0156245231555656
qiskit-cpu,zero,4096,27,32.0293285860098,0.0156247615796018
qiskit-cpu,zero,8192,3,0.0044675929966615,0.0127011799091499
qiskit-cpu,zero,8192,4,0.0053257580002537,0.012714078678019
qiskit-cpu,zero,8192,5,0.0202821179991588,0.0094476428568795
qiskit-cpu,zero,8192,6,0.0086799090058775,0.0111959174685528
qiskit-cpu,zero,8192,7,0.0103318080073222,0.010067656054939
qiskit-cpu,zero,8192,8,0.0149723030044697,0.0112039002984216
qiskit-cpu,zero,8192,9,0.0200962879898725,0.0108264737542195
qiskit-cpu,zero,8192,10,0.015787010997883,0.0106306352817759
qiskit-cpu,zero,8192,11,0.0325840909936232,0.0113885779196197
qiskit-cpu,zero,8192,12,0.0289615939982468,0.0110161271217563
qiskit-cpu,zero,8192,13,0.0379087999899638,0.0111117515114504
qiskit-cpu,zero,8192,14,0.0377930770046077,0.0110458457283824
qiskit-cpu,zero,8192,15,0.0295495950122131,0.0110404482955029
qiskit-cpu,zero,8192,16,0.0340971789992181,0.0110512405251526
qiskit-cpu,zero,8192,17,0.0726422500010812,0.0110727934281724
qiskit-cpu,zero,8192,18,0.0714761529961833,0.0110417979010694
qiskit-cpu,zero,8192,19,0.1232702569977846,0.0110458457283824
qiskit-cpu,zero,8192,20,0.3309336700040148,0.0110485434560398
qiskit-cpu,zero,8192,21,0.4391962230001809,0.0110471946745593
qiskit-cpu,zero,8192,22,1.5258376850106288,0.0110471946745593
qiskit-cpu,zero,8192,23,2.414508500005468,0.0110444966174487
qiskit-cpu,zero,8192,24,3.919610280994675,0.0110458457283824
qiskit-cpu,zero,8192,25,9.119105175006553,0.0110471946745593
qiskit-cpu,zero,8192,26,14.635088282011566,0.0110505663195865
qiskit-cpu,zero,8192,27,31.005098184003145,0.0110482062761066
qiskit-cpu,zero,16384,3,0.0421588390017859,0.0074257489183134
qiskit-cpu,zero,16384,4,0.0147840960125904,0.0099668746906332
qiskit-cpu,zero,16384,5,0.010031591009465,0.0074036424448759
qiskit-cpu,zero,16384,6,0.0116441709978971,0.0069547946939668
qiskit-cpu,zero,16384,7,0.0371690460015088,0.0083780618166506
qiskit-cpu,zero,16384,8,0.0252550830045947,0.0079124729861119
qiskit-cpu,zero,16384,9,0.031008832011139,0.0080362698196449
qiskit-cpu,zero,16384,10,0.0479166959994472,0.0078832285745715
qiskit-cpu,zero,16384,11,0.0485948940040543,0.007773780240118
